Post type,Title,Post url,Author(s),Date and time posted,Tags,No. of comments
article,How Trump’s Indictment Could Affect The 2024 Election,https://fivethirtyeight.com/features/trump-indictment-2024-election/,Nathaniel Rakich,"Mar. 31, 2023, at 9:54 AM",Donald Trump; 2024 Presidential Election; 2024 Election; Stormy Daniels,4
article,Congress Is Trying To Ban TikTok. Younger Americans Don’t Like That.,https://fivethirtyeight.com/features/tiktok-ban-polls/,Cooper Burton,"Mar. 31, 2023, at 6:00 AM",MLB; Joe Biden; Polling; Polls; Baseball; Pollapalooza; Social Media; College; Transgender; TikTok,5
podcast,New Laws Are Driving Red And Blue States Further Apart,https://fivethirtyeight.com/videos/new-laws-are-driving-red-and-blue-states-further-apart/,Galen Druke; Monica Potts; Amelia Thomson-DeVeaux; Kaleigh Rogers,"Mar. 30, 2023",Politics Podcast; Video; State Legislatures,8
podcast,Politics Podcast: What The Laboratories Of Democracy Are Cooking Up ,https://fivethirtyeight.com/features/politics-podcast-what-the-laboratories-of-democracy-are-cooking-up/,Galen Druke; Kaleigh Rogers; Monica Potts; Amelia Thomson-DeVeaux,"Mar. 30, 2023",FiveThirtyEight Podcasts; Politics Podcast,2
article,The Fed’s Fight Against Inflation Could Cost Black Workers The Most,https://fivethirtyeight.com/features/fighting-inflation-could-hurt-black-workers/,Santul Nerkar,"Mar. 30, 2023, at 6:00 AM",Economy; Unemployment Rate; Recession; U.S. Economy; Economic Inequality; Black Americans; Racial Disparities; Economics,5
article,Politicians Want Universal School Vouchers. But What About The Public?,https://fivethirtyeight.com/features/politicians-want-universal-school-vouchers-but-what-about-the-public/,Monica Potts; Mary Radcliffe,"Mar. 29, 2023, at 12:23 PM",Education; Public Schools; Home school; Private school; Religious; Vouchers,15
article,Should Anti-Trump Republicans Clear The Field For DeSantis?,https://fivethirtyeight.com/features/trump-desantis-2024-primary/,Nathaniel Rakich; Alex Samuels; Geoffrey Skelley,"Mar. 28, 2023, at 6:00 AM",Donald Trump; Polls; Slack Chat; Mike Pence; 2024 Presidential Election; 2024 Election; 2024 Republican Primary; Ron DeSantis; Liz Cheney; Nikki Haley; Larry Hogan; Tim Scott,22
podcast,Who Do Democrats Want To Win The 2024 Republican Primary?,https://fivethirtyeight.com/videos/who-do-democrats-want-to-win-the-2024-republican-primary/,Galen Druke; Alex Samuels; Nathaniel Rakich; Kaleigh Rogers,"Mar. 27, 2023",Donald Trump; Politics Podcast; Video; Polling; Democrats; 2024 Republican Primary; Ron DeSantis,5
podcast,What Taylor Swift Can Teach Us About Polling,https://fivethirtyeight.com/videos/what-taylor-swift-can-teach-us-about-polling/,Galen Druke; Alex Samuels; Nathaniel Rakich; Kaleigh Rogers,"Mar. 27, 2023",Politics Podcast; Video; Polling; Taylor Swift,3
podcast,Politics Podcast: Good Or Bad Use Of Polling (Taylor’s Version) ,https://fivethirtyeight.com/features/politics-podcast-good-or-bad-use-of-polling-taylors-version/,Galen Druke; Nathaniel Rakich; Alex Samuels; Kaleigh Rogers,"Mar. 27, 2023",FiveThirtyEight Podcasts; Politics Podcast; Ron DeSantis; Taylor Swift,3
